NumeroComprobante,FechaFactura,IdItem,NombreProducto,Descripcion,Cantidad,Precio,Total
B0200002786,2026-01-02,555,ISUZU DMAX DEFENSA TRASERA 2014,DEFNESA TRASERA 2 TUBOS,2,14500.0,31824.6
B0200002786,2026-01-02,783,ISUZU DMAX KIT - ESTRIBO EN TUBO 2 1/2,,1,14000.0,15859.2
B0200002786,2026-01-02,282,MATERIALES DE INSTALACION (1 SOLA PIEZA),"Materiales de instalacion (---------------------

-Garantia contra Oxido de 24 meses.
-Pintura automotriz (Urethano): Garantiza un acabado
excelente y duradero.",3,1500.0,5310.0
B0200002787,2026-01-02,619,KIT-COMPLETA DEFENSA HIJET,AÑO 2019,1,29000.0,27262.9
B0200002787,2026-01-02,1102,HIJET PORTA ESCALERA CON SEGURIDAD MODERNO,,1,15500.0,15500.0
B0200002787,2026-01-02,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200002787,2026-01-02,1420,HIJET TRASERO EXTRA REFORZADO,,1,3000.0,3000.0
B0200002787,2026-01-02,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200002788,2026-01-02,1462,RENAULT MASTER KIT DE DEFENSAS,,1,55000.0,56463.0
B0200002788,2026-01-02,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,5310.0
B0200002788,2026-01-02,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,885.0
B0200002789,2026-01-02,1483,JEEP SUZUKI SIDEKICK JUEGO DE DEFENSAS,AÑO 97,1,36000.0,32500.8
B0200002789,2026-01-02,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200002789,2026-01-02,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
